"사용월","호선명","지하철역","04시-05시 승차인원","04시-05시 하차인원","05시-06시 승차인원","05시-06시 하차인원","06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원","10시-11시 승차인원","10시-11시 하차인원","11시-12시 승차인원","11시-12시 하차인원","12시-13시 승차인원","12시-13시 하차인원","13시-14시 승차인원","13시-14시 하차인원","14시-15시 승차인원","14시-15시 하차인원","15시-16시 승차인원","15시-16시 하차인원","16시-17시 승차인원","16시-17시 하차인원","17시-18시 승차인원","17시-18시 하차인원","18시-19시 승차인원","18시-19시 하차인원","19시-20시 승차인원","19시-20시 하차인원","20시-21시 승차인원","20시-21시 하차인원","21시-22시 승차인원","21시-22시 하차인원","22시-23시 승차인원","22시-23시 하차인원","23시-24시 승차인원","23시-24시 하차인원","00시-01시 승차인원","00시-01시 하차인원","01시-02시 승차인원","01시-02시 하차인원","02시-03시 승차인원","02시-03시 하차인원","03시-04시 승차인원","03시-04시 하차인원","작업일자"
"201907","공항철도 1호선","청라국제도시","249","1","4929","287","19021","3800","36893","8324","21503","21059","11926","5721","9757","3783","9388","3607","9559","4108","8147","5611","7351","6453","7370","7470","8707","8990","13251","12238","22662","21410","6552","26815","5179","16005","3876","14268","3149","14785","1378","11256","220","3177","0","0","0","0","0","0","20190803"
"201907","공항철도 1호선","홍대입구","245","14","5719","611","6501","3512","12192","9018","16338","24342","14605","21755","15014","16562","16513","17840","16651","23757","16890","23457","17012","23556","19693","23427","24169","24696","29369","29568","36516","40065","28255","30741","27036","18297","33674","16362","35106","13908","17370","11760","1795","3304","0","0","0","0","0","0","20190803"
"201906","1호선","동대문","779","8","16707","2358","11312","8439","17906","15430","24009","29883","23732","30665","21965","33639","24673","38736","29165","37863","31993","37188","33681","34906","33669","32287","33068","29984","33119","29491","32274","30375","23463","31026","19509","23359","18120","18740","15233","17594","8502","13781","1106","4755","2","63","0","0","0","0","20190703"
"201906","1호선","동묘앞","155","6","3667","814","3891","4410","6786","12765","9641","28777","9953","20133","12268","24069","17782","31976","24086","34203","30603","38462","35335","36545","37836","31376","37798","25152","36123","19827","33623","13841","17574","9216","9196","6116","7203","6394","4727","6723","2214","4854","241","3212","2","224","0","0","0","0","20190703"
"201906","1호선","서울역","1101","32","11494","9791","14744","55794","40408","103829","79785","216405","61611","153564","69995","88628","86079","82282","95659","87093","99110","91437","82354","84413","110457","86892","116523","90269","154588","100358","228216","102594","131160","77815","94323","58319","93357","50983","72385","37502","34792","20094","3382","7184","1","351","0","0","0","0","20190703"
"201906","1호선","시청","64","1","2496","4320","3858","22899","7877","67242","10527","187289","13636","83325","17037","49214","22195","47512","26175","44651","33107","49731","39115","41651","49397","36891","59167","29967","77155","29407","151681","29258","70386","15831","58253","9478","57236","8404","37138","7097","14155","4343","808","1357","1","13","0","0","0","0","20190703"
"201906","1호선","신설동","363","18","10264","2265","10069","9037","20645","27528","29413","71033","22535","41044","21204","26304","23813","24386","25320","22723","27200","23413","27027","22124","30213","22963","32623","23544","42025","27877","66541","31040","29846","24096","19910","16431","17813","16332","12810","16276","6073","12783","571","2885","0","9","0","0","0","0","20190703"
"201906","1호선","제기동","376","8","5163","2538","9708","10323","23325","20384","33880","46490","26677","45149","30197","46074","37928","53253","43602","58781","47523","63352","52011","55050","59596","47740","60285","38559","54249","34362","51491","31064","28828","22353","18949","13663","13351","12124","8640","11642","4153","8308","350","1928","1","1","0","0","0","0","20190703"
"201906","1호선","종각","93","1","4565","5096","4527","34181","7167","95990","11669","263686","15270","151904","20575","74001","31507","69323","40037","64042","54486","64839","61319","55225","75004","50314","85688","52477","129539","57738","223108","72438","115541","45269","101723","19323","118940","11843","98126","8442","44793","5666","3776","1535","0","1","0","0","0","0","20190703"
"201906","1호선","종로3가","192","16","5539","2961","4625","15619","6491","30844","11565","79617","15967","91215","27940","80983","39850","87446","53480","88063","66813","87550","74212","77712","82320","63417","90525","56399","96184","54881","119236","58808","87453","35678","69153","16220","73675","11433","62390","9094","27132","6392","2882","2679","1","29","0","0","0","0","20190703"
"201906","1호선","종로5가","45","0","2227","3554","3243","17466","5584","41994","9309","112190","14912","73919","24391","64123","35152","69974","47239","66018","59181","61719","67402","55660","69362","48462","69609","44240","81273","40420","111530","38743","64243","23585","44315","11759","37390","8163","27914","5697","10075","3659","709","1034","0","3","0","0","0","0","20190703"
"201906","1호선","청량리(서울시립대입구)","1273","17","12671","3641","18120","13234","45006","19937","60787","42154","42021","41629","37306","42798","43007","50805","47597","54792","48901","61526","51666","60348","58351","56981","63023","52544","59476","55398","55588","63840","35405","48590","28806","29540","22750","27130","15734","27660","7161","18695","492","5894","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","검암","1753","1","9719","760","17874","3239","42163","7996","31359","15037","16059","6390","12502","5120","12327","4893","11938","6193","9976","6873","8808","8302","8656","9370","9788","11741","11836","15627","15829","28028","6717","31253","5542","20284","4680","17424","3629","19097","1700","13261","266","7708","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","계양","19","1","10036","850","23318","3547","62914","4650","52472","6520","29093","5988","21540","4782","18824","5639","16876","6687","14727","8686","12007","10968","11659","13845","12362","17749","12378","24140","10950","41038","6855","44409","5074","28800","4264","25018","3179","28722","1566","17461","317","4800","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","공덕","106","1","1770","156","2654","1277","5728","2895","6081","9402","4147","4976","3443","3385","3181","3440","3457","4021","3375","4123","3100","3803","3286","4372","3258","4956","4392","6243","8413","11013","4253","7907","3191","5536","3183","5471","2459","6045","1564","4433","142","1876","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","공항화물청사","5","0","582","425","1680","7613","1911","14244","2499","26898","2853","4325","741","2305","805","3725","1230","3208","1621","1869","2283","964","3146","1144","4897","1585","9435","1437","18611","1044","5391","2685","3559","3169","4628","1301","2770","352","660","231","5","76","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","김포공항","15","1","2122","1915","4176","12492","8938","22304","14688","21364","15785","12317","16723","10983","19515","12280","18339","13170","20891","13332","21478","12139","22666","10880","17052","13350","23437","14975","31085","15069","22294","9454","18474","5184","19479","3714","18707","2861","6619","1949","270","1133","0","33","0","0","0","0","20190703"
"201906","공항철도 1호선","디지털미디어시티","67","1","3837","856","6557","6161","16377","23406","18133","82341","11394","37171","8738","15368","10222","12193","12670","13047","12916","14472","12668","11877","15104","11660","18130","12509","32938","14735","80917","20713","33129","15510","21492","9588","21058","7937","20609","7819","8594","5579","891","2769","0","3","0","0","0","0","20190703"
"201906","공항철도 1호선","마곡나루","6","0","1201","515","2764","6018","7408","12830","9226","34908","4953","14333","3403","5516","3710","4018","4593","4201","4914","4768","4757","4281","6311","3994","9286","4322","29653","5701","29124","9401","11564","7071","7252","4390","6195","4673","4505","4780","1926","3015","381","2388","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","서울역","204","1","5770","1506","6816","14053","13887","19695","20427","28015","19775","24322","21087","21322","27162","21387","29220","22976","28823","19793","21316","21056","31573","20598","31029","22966","34394","22094","35078","24497","29125","21460","21758","15670","21487","13794","16522","11487","9062","6219","130","3587","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","영종","12","0","2456","142","6071","2030","9967","2697","8188","3294","6247","2480","5488","2008","5148","2730","4620","3161","4052","3360","3765","3782","4188","4503","4719","4779","5180","6447","4145","7670","2644","9342","2156","6139","1764","6564","1197","6480","685","5396","104","2124","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","운서","101","0","8697","696","11389","7169","18554","10394","17571","15085","11511","10979","11159","6550","13126","6412","13015","6941","10735","7876","10133","8438","10395","11497","12966","12661","16450","14807","14693","21026","8556","17958","8398","15160","7947","16700","6558","16501","2897","12964","396","4680","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","인천공항1터미널","0","0","16380","6349","17428","19738","19424","39293","20228","39509","19713","28006","20059","25934","21867","37096","26956","41121","30535","35804","38291","36493","43015","23937","40469","30651","38796","28589","39899","26737","27086","23691","24568","20793","28780","13180","29790","11299","14072","9720","36","8420","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","인천공항2터미널","0","0","6369","3180","5488","8610","7319","15062","7567","14027","7538","9082","4060","10442","5571","11805","10932","12451","7478","8721","9396","7996","12361","10852","12970","10336","18896","11452","20793","5972","10635","3384","8464","2568","9269","2992","6242","2009","3628","1599","1","1075","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","청라국제도시","208","2","4616","285","16973","3377","31972","7294","19250","17758","12288","5444","9968","3658","9427","3764","9282","4520","7778","5691","6846","5931","7357","7496","8726","9634","12379","12078","18710","19052","6155","23882","4498","14372","3862","13598","2869","13806","1314","10531","179","3128","0","0","0","0","0","0","20190703"
"201906","공항철도 1호선","홍대입구","297","9","5850","511","6939","3243","11893","8814","14906","21398","14450","20359","15793","17033","16283","18268","16295","23829","16842","24081","17953","23476","20355","24053","23749","24714","27943","29231","34794","37524","28481","29326","26651","19041","32348","16341","33809","14824","17418","12584","1714","3490","1","1","0","0","0","0","20190703"
"201905","1호선","동대문","776","12","17333","2452","12614","9043","19979","17282","26926","33995","25431","33416","23361","36888","26168","41333","30809","40599","34606","40056","36019","37750","36250","35548","34975","32769","35787","32860","35427","32845","25533","33797","21431","25219","19460","19798","16831","18679","9553","14421","1199","5052","1","68","0","0","0","0","20190603"
"201905","1호선","동묘앞","136","11","3712","876","3992","4354","7349","13980","10925","33547","10783","21482","12426","25303","18967","34419","25923","38729","33022","43887","38551","41213","42175","35667","44238","28039","40527","22188","36633","15203","19966","10235","10184","6913","7455","6990","5331","7342","2725","5014","304","3516","5","298","0","0","0","0","20190603"
